region,boric,kast,provoste,sichel,artes,meo,parisi
ARICA Y PARINACOTA,17.78,29.62,9.93,7.3,1.16,5.55,28.65
TARAPACA,18.31,30.49,8.65,7.66,1.24,6.3,27.36
ANTOFAGASTA,20.61,20.99,8.72,7.32,1.27,7.17,33.93
ATACAMA,19.24,17.92,25.91,6.69,1.28,05.01,23.95
COQUIMBO,25.93,21.63,13.66,10.4,1.42,7.13,19.85
VALPARAISO,28.12,26.68,10.31,12.07,1.67,08.04,13.11
METROPOLITANA DE SANTIAGO,31.02,25.07,10.25,15.29,1.78,8.92,7.67
EL LIBERTADOR GENERAL BERNARDO O'HIGGINS,24.17,25.41,13.28,13.84,1.12,7.79,14.4
MAULE,19.58,31.49,13.95,13.61,0.93,6.8,13.64
ÑUBLE,16.6,36.61,14.89,12.88,0.89,5.49,12.64
BIOBÍO,19.17,32.57,11.92,10.29,1.19,6.55,18.31
LA ARAUCANIA,16.58,42.16,12.38,10.4,01.04,5.54,11.9
LOS RÍOS,23.16,33.15,13.65,10.2,1.29,5.44,13.1
LOS LAGOS,20.43,32.46,14.72,10.91,1.23,5.39,14.85
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,24.99,29.47,16.49,9.83,1.27,05.05,12.89
MAGALLANES Y DE LA ANTARTICA CHILENA,30.6,27.93,9.92,8.34,0.97,9.62,12.63